# Entries uncompressed compressed fpr
0 19 27 4.2204903418e-13
10 109 120 5.65221054436e-10
20 199 210 3.95692582531e-09
30 289 289 1.28064092004e-08
40 376 365 2.98070352936e-08
50 463 436 5.77145667041e-08
60 550 506 9.93470614941e-08
70 640 579 1.57584760053e-07
80 721 653 2.35369961965e-07
90 811 727 3.35706893013e-07
100 901 800 4.61661562418e-07
110 991 870 6.16361610454e-07
120 1072 928 8.02996146556e-07
130 1156 997 1.02481557803e-06
140 1243 1064 1.28513142949e-06
150 1330 1132 1.58731615319e-06
160 1408 1195 1.93480293025e-06
170 1489 1269 2.33108546309e-06
180 1576 1339 2.77971775895e-06
190 1660 1405 3.28431390488e-06
200 1747 1474 3.84854783409e-06
210 1834 1539 4.47615308395e-06
220 1924 1613 5.17092254564e-06
230 2008 1678 5.9367082057e-06
240 2092 1744 6.77742087943e-06
250 2173 1809 7.69702993641e-06
260 2257 1877 8.69956301826e-06
270 2338 1937 9.78910574857e-06
280 2416 2002 1.09698014354e-05
290 2503 2071 1.22458507663e-05
300 2584 2138 1.36215114959e-05
310 2668 2206 1.51010981263e-05
320 2746 2263 1.66889815806e-05
330 2830 2329 1.83895888692e-05
340 2917 2399 2.02074027494e-05
350 2995 2466 2.21469613778e-05
360 3070 2531 2.4212857957e-05
370 3160 2604 2.64097403751e-05
380 3235 2665 2.87423108389e-05
390 3319 2728 3.12153255007e-05
400 3397 2791 3.38335940798e-05
410 3466 2849 3.66019794765e-05
420 3541 2907 3.95253973818e-05
430 3622 2972 4.26088158799e-05
440 3694 3029 4.58572550458e-05
450 3778 3094 4.92757865375e-05
460 3850 3156 5.28695331815e-05
470 3928 3215 5.66436685546e-05
480 4006 3278 6.06034165594e-05
490 4081 3339 6.47540509946e-05
500 4156 3394 6.91008951214e-05
510 4234 3456 7.36493212231e-05
520 4312 3518 7.84047501621e-05
530 4396 3588 8.33726509302e-05
540 4471 3648 8.8558540196e-05
550 4543 3708 9.39679818463e-05
560 4621 3774 9.96065865244e-05
570 4693 3831 0.000105480011164
580 4768 3890 0.000111593958516
590 4852 3958 0.000117954176679
600 4939 4029 0.000124566458615
610 5008 4083 0.00013143664167
620 5077 4144 0.000138570607088
630 5149 4204 0.000145974279519
640 5224 4264 0.000153653626528
650 5296 4322 0.000161614658096
660 5380 4388 0.000169863426122
670 5461 4454 0.000178406023917
680 5536 4513 0.000187248585701
690 5608 4571 0.00019639728609
700 5665 4618 0.000205858339585
710 5737 4675 0.000215638000056
720 5812 4734 0.000225742560225
730 5878 4790 0.000236178351143
740 5950 4849 0.000246951741671
750 6022 4910 0.000258069137949
760 6100 4975 0.00026953698287
770 6178 5042 0.000281361755551
780 6250 5094 0.000293549970798
790 6319 5154 0.000306108178572
800 6388 5211 0.000319042963453
810 6457 5271 0.0003323609441
820 6526 5326 0.000346068772712
830 6601 5386 0.000360173134483
840 6676 5443 0.000374680747062
850 6742 5500 0.000389598360002
860 6817 5562 0.00040493275422
870 6889 5620 0.000420690741442
880 6967 5683 0.000436879163655
890 7021 5729 0.00045350489256
900 7096 5789 0.000470574829015
910 7165 5844 0.000488095902481
920 7222 5893 0.000506075070472
930 7282 5943 0.000524519317999
940 7345 5995 0.000543435657011
950 7414 6053 0.000562831125838
960 7486 6112 0.000582712788639
970 7558 6171 0.000603087734836
980 7615 6222 0.000623963078563
990 7693 6292 0.000645345958101
1000 7765 6348 0.000667243535319
1010 7840 6410 0.000689662995119
1020 7906 6462 0.000712611544871
1030 7966 6512 0.000736096413852
1040 8029 6565 0.00076012485269
1050 8098 6621 0.000784704132801
1060 8158 6669 0.000809841545827
1070 8236 6736 0.000835544403079
1080 8299 6790 0.000861820034972
1090 8362 6839 0.000888675790471
1100 8428 6894 0.000916119036527
1110 8494 6945 0.000944157157519
1120 8563 7001 0.000972797554693
1130 8620 7052 0.00100204764561
1140 8683 7102 0.00103191486357
1150 8746 7154 0.00106240665709
1160 8794 7195 0.00109353048932
1170 8851 7240 0.00112529383746
1180 8917 7294 0.00115770419229
1190 8983 7349 0.00119076905752
1200 9049 7399 0.0012244959493
1210 9124 7461 0.00125889239564
1220 9184 7513 0.00129396593588
1230 9247 7566 0.0013297241201
1240 9307 7613 0.00136617450861
1250 9373 7667 0.0014033246714
1260 9433 7716 0.00144118218755
1270 9490 7765 0.00147975464473
1280 9553 7816 0.00151904963867
1290 9607 7858 0.00155907477253
1300 9658 7906 0.00159983765647
1310 9721 7957 0.00164134590702
1320 9790 8013 0.00168360714659
1330 9862 8071 0.00172662900294
1340 9925 8123 0.00177041910859
1350 9988 8178 0.00181498510035
1360 10010 3199 0.00186033461874
1370 10010 3219 0.0019064753075
1380 10010 3236 0.00195341481302
1390 10010 3252 0.00200116078386
1400 10010 3260 0.00204972087017
1410 10010 3273 0.00209910272323
1420 10010 3286 0.00214931399486
1430 10010 3301 0.00220036233697
1440 10010 3317 0.002252255401
1450 10010 3332 0.0023050008374
1460 10010 3347 0.00235860629516
1470 10010 3367 0.00241307942127
1480 10010 3383 0.00246842786018
1490 10010 3395 0.00252465925338
1500 10010 3406 0.00258178123881
1510 10010 3425 0.00263980145041
1520 10010 3436 0.0026987275176
1530 10010 3441 0.00275856706478
1540 10010 3452 0.00281932771087
1550 10010 3466 0.00288101706876
1560 10010 3476 0.00294364274487
1570 10010 3488 0.00300721233865
1580 10010 3503 0.00307173344207
1590 10010 3515 0.0031372136392
1600 10010 3529 0.00320366050564
1610 10010 3535 0.00327108160813
1620 10010 3550 0.00333948450403
1630 10010 3561 0.00340887674085
1640 10010 3571 0.0034792658558
1650 10010 3580 0.00355065937531
1660 10010 3592 0.00362306481458
1670 10010 3603 0.0036964896771
1680 10010 3608 0.00377094145419
1690 10010 3614 0.0038464276246
1700 10010 3632 0.00392295565396
1710 10010 3647 0.00400053299443
1720 10010 3661 0.00407916708421
1730 10010 3663 0.00415886534706
1740 10010 3683 0.00423963519194
1750 10010 3697 0.00432148401251
1760 10010 3706 0.00440441918671
1770 10010 3719 0.00448844807636
1780 10010 3731 0.00457357802667
1790 10010 3744 0.00465981636587
1800 10010 3750 0.00474717040477
1810 10010 3745 0.00483564743634
1820 10010 3757 0.00492525473528
1830 10010 3772 0.00501599955763
1840 10010 3783 0.00510788914035
1850 10010 3791 0.0052009307009
1860 10010 3809 0.00529513143685
1870 10010 3829 0.00539049852551
1880 10010 3845 0.00548703912345
1890 10010 3854 0.0055847603662
1900 10010 3855 0.00568366936779
1910 10010 3860 0.00578377322039
1920 10010 3868 0.00588507899393
1930 10010 3882 0.00598759373571
1940 10010 3897 0.00609132447003
1950 10010 3915 0.00619627819778
1960 10010 3924 0.00630246189614
1970 10010 3936 0.00640988251812
1980 10010 3946 0.00651854699228
1990 10010 3962 0.00662846222232
2000 10010 3967 0.00673963508673
2010 10010 3979 0.00685207243843
2020 10010 3996 0.00696578110444
2030 10010 4004 0.00708076788551
2040 10010 4019 0.00719703955577
2050 10010 4022 0.00731460286243
2060 10010 4042 0.00743346452536
2070 10010 4057 0.00755363123686
2080 10010 4055 0.00767510966125
2090 10010 4071 0.00779790643454
2100 10010 4077 0.00792202816417
2110 10010 4081 0.00804748142862
2120 10010 4094 0.00817427277714
2130 10010 4104 0.00830240872939
2140 10010 4117 0.00843189577516
2150 10010 4134 0.00856274037406
2160 10010 4143 0.00869494895521
2170 10010 4143 0.00882852791692
2180 10010 4160 0.00896348362641
2190 10010 4171 0.00909982241953
2200 10010 4180 0.00923755060044
2210 10010 4186 0.00937667444133
2220 10010 4202 0.00951720018214
2230 10010 4213 0.00965913403027
2240 10010 4228 0.00980248216032
2250 10010 4231 0.0099472507138
2260 10010 4240 0.0100934457988
2270 10010 4254 0.01024107349
2280 10010 4262 0.0103901398278
2290 10010 4271 0.0105406508189
2300 10010 4276 0.0106926124352
2310 10010 4278 0.0108460306142
2320 10010 4285 0.0110009112584
2330 10010 4293 0.011157260235
2340 10010 4300 0.0113150833759
2350 10010 4311 0.0114743864776
2360 10010 4319 0.0116351753002
2370 10010 4324 0.011797455568
2380 10010 4343 0.011961232969
2390 10010 4346 0.0121265131544
2400 10010 4363 0.0122933017388
2410 10010 4379 0.0124616042996
2420 10010 4378 0.012631426377
2430 10010 4386 0.0128027734739
2440 10010 4400 0.0129756510552
2450 10010 4403 0.0131500645482
2460 10010 4413 0.013326019342
2470 10010 4415 0.0135035207874
2480 10010 4424 0.0136825741969
2490 10010 4433 0.0138631848439
2500 10010 4440 0.0140453579634
2510 10010 4449 0.0142290987511
2520 10010 4460 0.0144144123633
2530 10010 4465 0.0146013039173
2540 10010 4472 0.0147897784903
2550 10010 4485 0.0149798411202
2560 10010 4498 0.0151714968044
2570 10010 4511 0.0153647505007
2580 10010 4518 0.0155596071262
2590 10010 4531 0.0157560715579
2600 10010 4539 0.0159541486318
2610 10010 4543 0.0161538431434
2620 10010 4551 0.0163551598472
2630 10010 4554 0.0165581034566
2640 10010 4562 0.0167626786438
2650 10010 4568 0.0169688900396
2660 10010 4577 0.0171767422333
2670 10010 4584 0.0173862397726
2680 10010 4587 0.0175973871633
2690 10010 4592 0.0178101888693
2700 10010 4600 0.0180246493126
2710 10010 4613 0.018240772873
2720 10010 4626 0.0184585638877
2730 10010 4634 0.0186780266519
2740 10010 4640 0.018899165418
2750 10010 4653 0.0191219843959
2760 10010 4662 0.0193464877526
2770 10010 4669 0.0195726796124
2780 10010 4678 0.0198005640564
2790 10010 4690 0.0200301451229
2800 10010 4698 0.0202614268068
2810 10010 4698 0.0204944130599
2820 10010 4715 0.0207291077904
2830 10010 4724 0.0209655148634
2840 10010 4725 0.0212036381001
2850 10010 4731 0.0214434812782
2860 10010 4738 0.0216850481319
2870 10010 4747 0.0219283423513
2880 10010 4756 0.0221733675828
2890 10010 4763 0.0224201274288
2900 10010 4769 0.0226686254477
2910 10010 4779 0.0229188651538
2920 10010 4788 0.0231708500174
2930 10010 4799 0.0234245834644
2940 10010 4808 0.0236800688765
2950 10010 4816 0.0239373095912
2960 10010 4818 0.0241963089013
2970 10010 4828 0.0244570700556
2980 10010 4835 0.024719596258
2990 10010 4839 0.0249838906682
3000 10010 4851 0.0252499564012
3010 10010 4853 0.0255177965272
3020 10010 4852 0.0257874140722
3030 10010 4861 0.0260588120171
3040 10010 4869 0.0263319932981
3050 10010 4878 0.026606960807
3060 10010 4873 0.0268837173905
3070 10010 4889 0.0271622658504
3080 10010 4900 0.0274426089441
3090 10010 4901 0.0277247493838
3100 10010 4908 0.0280086898369
3110 10010 4910 0.0282944329259
3120 10010 4922 0.0285819812285
3130 10010 4930 0.0288713372773
3140 10010 4939 0.0291625035603
3150 10010 4947 0.0294554825201
3160 10010 4958 0.0297502765549
3170 10010 4966 0.0300468880176
3180 10010 4976 0.0303453192162
3190 10010 4988 0.0306455724139
3200 10010 4993 0.0309476498289
3210 10010 4994 0.0312515536344
3220 10010 5011 0.031557285959
3230 10010 5021 0.031864848886
3240 10010 5029 0.0321742444541
3250 10010 5036 0.032485474657
3260 10010 5048 0.0327985414436
3270 10010 5057 0.033113446718
3280 10010 5065 0.0334301923394
3290 10010 5070 0.0337487801224
3300 10010 5082 0.0340692118366
3310 10010 5086 0.034391489207
3320 10010 5096 0.0347156139141
3330 10010 5096 0.0350415875935
3340 10010 5100 0.0353694118362
3350 10010 5107 0.0356990881887
3360 10010 5114 0.0360306181529
3370 10010 5117 0.0363640031863
3380 10010 5124 0.0366992447019
3390 10010 5132 0.0370363440681
3400 10010 5138 0.0373753026093
3410 10010 5145 0.0377161216052
3420 10010 5153 0.0380588022916
3430 10010 5157 0.0384033458598
3440 10010 5164 0.0387497534572
3450 10010 5167 0.0390980261868
3460 10010 5172 0.039448165108
3470 10010 5174 0.0398001712358
3480 10010 5182 0.0401540455414
3490 10010 5190 0.0405097889525
3500 10010 5194 0.0408674023525
3510 10010 5201 0.0412268865814
3520 10010 5201 0.0415882424356
3530 10010 5203 0.0419514706677
3540 10010 5214 0.0423165719871
3550 10010 5213 0.0426835470595
3560 10010 5220 0.0430523965074
3570 10010 5232 0.0434231209102
3580 10010 5235 0.0437957208037
3590 10010 5235 0.0441701966811
3600 10010 5240 0.0445465489922
3610 10010 5252 0.0449247781441
3620 10010 5257 0.045304884501
3630 10010 5261 0.0456868683843
3640 10010 5270 0.0460707300728
3650 10010 5278 0.0464564698026
3660 10010 5290 0.0468440877676
3670 10010 5295 0.0472335841191
3680 10010 5298 0.0476249589661
3690 10010 5304 0.0480182123757
3700 10010 5309 0.0484133443725
3710 10010 5311 0.0488103549395
3720 10010 5312 0.0492092440176
3730 10010 5319 0.049610011506
3740 10010 5325 0.0500126572621
3750 10010 5323 0.050417181102
3760 10010 5328 0.0508235828002
3770 10010 5337 0.0512318620897
3780 10010 5337 0.0516420186626
3790 10010 5344 0.0520540521696
3800 10010 5350 0.0524679622206
3810 10010 5356 0.0528837483843
3820 10010 5366 0.0533014101891
3830 10010 5371 0.0537209471223
3840 10010 5370 0.0541423586309
3850 10010 5374 0.0545656441215
3860 10010 5381 0.0549908029601
3870 10010 5390 0.055417834473
3880 10010 5394 0.055846737946
3890 10010 5407 0.0562775126254
3900 10010 5408 0.0567101577173
3910 10010 5412 0.0571446723884
3920 10010 5418 0.0575810557657
3930 10010 5422 0.058019306937
3940 10010 5430 0.0584594249505
3950 10010 5439 0.0589014088156
3960 10010 5439 0.0593452575024
3970 10010 5448 0.0597909699423
3980 10010 5451 0.0602385450278
3990 10010 5457 0.060687981613
4000 10010 5457 0.0611392785134
4010 10010 5467 0.061592434506
4020 10010 5474 0.06204744833
4030 10010 5480 0.0625043186862
4040 10010 5488 0.0629630442376
4050 10010 5497 0.0634236236095
4060 10010 5501 0.0638860553895
4070 10010 5506 0.0643503381277
4080 10010 5508 0.0648164703369
4090 10010 5511 0.0652844504927
4100 10010 5515 0.0657542770337
4110 10010 5517 0.0662259483615
4120 10010 5522 0.0666994628409
4130 10010 5530 0.0671748188005
4140 10010 5537 0.0676520145319
4150 10010 5541 0.0681310482907
4160 10010 5546 0.0686119182964
4170 10010 5551 0.0690946227323
4180 10010 5554 0.0695791597461
4190 10010 5559 0.0700655274497
4200 10010 5564 0.0705537239193
4210 10010 5571 0.0710437471961
4220 10010 5567 0.0715355952857
4230 10010 5574 0.0720292661589
4240 10010 5578 0.0725247577514
4250 10010 5582 0.0730220679644
4260 10010 5587 0.0735211946643
4270 10010 5585 0.0740221356831
4280 10010 5589 0.0745248888187
4290 10010 5594 0.0750294518347
4300 10010 5599 0.0755358224609
4310 10010 5607 0.0760439983932
4320 10010 5610 0.076553977294
4330 10010 5612 0.0770657567921
4340 10010 5614 0.0775793344831
4350 10010 5618 0.0780947079296
4360 10010 5617 0.078611874661
4370 10010 5624 0.0791308321741
4380 10010 5629 0.079651577933
4390 10010 5632 0.0801741093693
4400 10010 5637 0.0806984238824
4410 10010 5644 0.0812245188395
4420 10010 5638 0.0817523915759
4430 10010 5640 0.082282039395
4440 10010 5647 0.0828134595687
4450 10010 5656 0.0833466493375
4460 10010 5661 0.0838816059105
4470 10010 5665 0.0844183264657
4480 10010 5670 0.0849568081502
4490 10010 5676 0.0854970480805
4500 10010 5681 0.0860390433421
4510 10010 5681 0.0865827909904
4520 10010 5686 0.0871282880506
4530 10010 5689 0.0876755315176
4540 10010 5695 0.0882245183565
4550 10010 5696 0.0887752455028
4560 10010 5702 0.0893277098621
4570 10010 5705 0.089881908311
4580 10010 5714 0.0904378376967
4590 10010 5721 0.0909954948375
4600 10010 5725 0.0915548765225
4610 10010 5729 0.0921159795126
4620 10010 5733 0.0926788005399
4630 10010 5738 0.0932433363082
4640 10010 5746 0.0938095834933
4650 10010 5750 0.0943775387427
4660 10010 5754 0.0949471986766
4670 10010 5758 0.095518559887
4680 10010 5763 0.0960916189389
4690 10010 5770 0.0966663723699
4700 10010 5774 0.0972428166903
4710 10010 5779 0.0978209483839
4720 10010 5782 0.0984007639074
4730 10010 5780 0.0989822596912
4740 10010 5784 0.099565432139
4750 10010 5791 0.100150277629
4760 10010 5796 0.100736792512
4770 10010 5798 0.101324973114
4780 10010 5795 0.101914815736
4790 10010 5802 0.102506316652
4800 10010 5807 0.103099472111
4810 10010 5808 0.103694278338
4820 10010 5813 0.104290731532
4830 10010 5813 0.104888827868
4840 10010 5823 0.105488563494
4850 10010 5830 0.106089934538
4860 10010 5829 0.1066929371
4870 10010 5832 0.107297567257
4880 10010 5836 0.107903821062
4890 10010 5840 0.108511694546
4900 10010 5839 0.109121183714
4910 10010 5844 0.109732284549
4920 10010 5847 0.11034499301
4930 10010 5850 0.110959305035
4940 10010 5852 0.111575216537
4950 10010 5854 0.112192723407
4960 10010 5855 0.112811821513
4970 10010 5863 0.113432506703
4980 10010 5861 0.114054774801
4990 10010 5862 0.114678621608
5000 10010 5866 0.115304042907
5010 10010 5865 0.115931034455
5020 10010 5870 0.116559591991
5030 10010 5874 0.117189711231
5040 10010 5879 0.117821387871
5050 10010 5890 0.118454617585
5060 10010 5896 0.119089396028
5070 10010 5897 0.119725718832
5080 10010 5900 0.120363581612
5090 10010 5906 0.121002979961
5100 10010 5916 0.121643909451
5110 10010 5920 0.122286365635
5120 10010 5921 0.122930344049
5130 10010 5920 0.123575840205
5140 10010 5922 0.124222849599
5150 10010 5926 0.124871367707
5160 10010 5933 0.125521389987
5170 10010 5940 0.126172911876
5180 10010 5942 0.126825928794
5190 10010 5944 0.127480436144
5200 10010 5945 0.128136429307
5210 10010 5948 0.12879390365
5220 10010 5952 0.129452854519
5230 10010 5955 0.130113277246
5240 10010 5958 0.130775167141
5250 10010 5962 0.1314385195
5260 10010 5963 0.1321033296
5270 10010 5964 0.132769592703
5280 10010 5968 0.133437304052
5290 10010 5970 0.134106458874
5300 10010 5975 0.134777052382
5310 10010 5975 0.135449079769
5320 10010 5978 0.136122536213
5330 10010 5979 0.136797416878
5340 10010 5987 0.137473716911
5350 10010 5993 0.138151431441
5360 10010 5998 0.138830555586
5370 10010 6001 0.139511084446
5380 10010 6002 0.140193013106
5390 10010 6006 0.140876336637
5400 10010 6010 0.141561050095
5410 10010 6010 0.14224714852
5420 10010 6012 0.14293462694
5430 10010 6014 0.143623480368
5440 10010 6013 0.144313703801
5450 10010 6018 0.145005292224
5460 10010 6020 0.145698240609
5470 10010 6023 0.146392543912
5480 10010 6026 0.147088197078
5490 10010 6023 0.147785195037
5500 10010 6022 0.148483532707
5510 10010 6028 0.149183204992
5520 10010 6032 0.149884206784
5530 10010 6037 0.150586532964
5540 10010 6039 0.151290178397
5550 10010 6040 0.151995137938
5560 10010 6043 0.152701406431
5570 10010 6046 0.153408978706
5580 10010 6049 0.154117849581
5590 10010 6052 0.154828013865
5600 10010 6057 0.155539466353
5610 10010 6059 0.15625220183
5620 10010 6061 0.15696621507
5630 10010 6063 0.157681500834
5640 10010 6066 0.158398053876
5650 10010 6068 0.159115868935
5660 10010 6067 0.159834940744
5670 10010 6071 0.160555264022
5680 10010 6073 0.161276833479
5690 10010 6074 0.161999643816
5700 10010 6077 0.162723689724
5710 10010 6077 0.163448965883
5720 10010 6082 0.164175466964
5730 10010 6086 0.16490318763
5740 10010 6087 0.165632122532
5750 10010 6088 0.166362266315
5760 10010 6091 0.167093613613
5770 10010 6093 0.167826159053
5780 10010 6095 0.16855989725
5790 10010 6100 0.169294822816
5800 10010 6106 0.170030930349
5810 10010 6110 0.170768214443
5820 10010 6113 0.171506669683
5830 10010 6117 0.172246290644
5840 10010 6115 0.172987071896
5850 10010 6118 0.173729008
5860 10010 6117 0.17447209351
5870 10010 6120 0.175216322974
5880 10010 6121 0.17596169093
5890 10010 6122 0.176708191913
5900 10010 6120 0.177455820447
5910 10010 6119 0.178204571052
5920 10010 6120 0.178954438241
5930 10010 6126 0.179705416521
5940 10010 6131 0.180457500392
5950 10010 6131 0.181210684348
5960 10010 6134 0.181964962877
5970 10010 6138 0.182720330463
5980 10010 6143 0.183476781581
5990 10010 6141 0.184234310704
6000 10010 6141 0.184992912298
6010 10010 6145 0.185752580823
6020 10010 6142 0.186513310736
6030 10010 6148 0.187275096487
6040 10010 6153 0.188037932522
6050 10010 6153 0.188801813283
6060 10010 6159 0.189566733207
6070 10010 6163 0.190332686727
6080 10010 6167 0.191099668271
6090 10010 6167 0.191867672262
6100 10010 6168 0.192636693123
6110 10010 6169 0.193406725268
6120 10010 6171 0.194177763112
6130 10010 6174 0.194949801063
6140 10010 6176 0.195722833527
6150 10010 6174 0.196496854907
6160 10010 6178 0.197271859602
6170 10010 6178 0.198047842009
6180 10010 6178 0.198824796521
6190 10010 6176 0.199602717529
6200 10010 6176 0.200381599422
6210 10010 6178 0.201161436585
6220 10010 6181 0.201942223401
6230 10010 6181 0.202723954251
6240 10010 6179 0.203506623515
6250 10010 6183 0.20429022557
6260 10010 6185 0.20507475479
6270 10010 6183 0.205860205549
6280 10010 6183 0.20664657222
6290 10010 6185 0.207433849172
6300 10010 6192 0.208222030775
6310 10010 6196 0.209011111396
6320 10010 6198 0.209801085402
6330 10010 6199 0.21059194716
6340 10010 6201 0.211383691033
6350 10010 6204 0.212176311386
6360 10010 6207 0.212969802584
6370 10010 6209 0.213764158988
6380 10010 6216 0.214559374961
6390 10010 6218 0.215355444867
6400 10010 6219 0.216152363067
6410 10010 6220 0.216950123925
6420 10010 6224 0.217748721801
6430 10010 6224 0.21854815106
6440 10010 6229 0.219348406064
6450 10010 6230 0.220149481177
6460 10010 6235 0.220951370762
6470 10010 6238 0.221754069185
6480 10010 6242 0.222557570812
6490 10010 6245 0.223361870008
6500 10010 6247 0.224166961141
6510 10010 6247 0.224972838581
6520 10010 6245 0.225779496696
6530 10010 6252 0.226586929859
6540 10010 6254 0.227395132442
6550 10010 6256 0.22820409882
6560 10010 6263 0.229013823368
6570 10010 6264 0.229824300465
6580 10010 6264 0.23063552449
6590 10010 6265 0.231447489825
6600 10010 6268 0.232260190855
6610 10010 6270 0.233073621965
6620 10010 6272 0.233887777544
6630 10010 6276 0.234702651983
6640 10010 6277 0.235518239676
6650 10010 6277 0.236334535018
6660 10010 6280 0.23715153241
6670 10010 6281 0.237969226252
6680 10010 6281 0.238787610949
6690 10010 6283 0.239606680911
6700 10010 6283 0.240426430546
6710 10010 6281 0.24124685427
6720 10010 6280 0.242067946501
6730 10010 6284 0.24288970166
6740 10010 6286 0.243712114171
6750 10010 6286 0.244535178463
6760 10010 6288 0.245358888968
6770 10010 6291 0.246183240123
6780 10010 6294 0.247008226366
6790 10010 6295 0.247833842142
6800 10010 6299 0.2486600819
6810 10010 6299 0.249486940092
6820 10010 6302 0.250314411175
6830 10010 6301 0.251142489609
6840 10010 6305 0.251971169861
6850 10010 6307 0.2528004464
6860 10010 6309 0.253630313703
6870 10010 6310 0.254460766249
6880 10010 6313 0.255291798522
6890 10010 6311 0.256123405013
6900 10010 6315 0.256955580216
6910 10010 6316 0.257788318631
6920 10010 6317 0.258621614763
6930 10010 6319 0.259455463123
6940 10010 6319 0.260289858227
6950 10010 6321 0.261124794597
6960 10010 6324 0.261960266759
6970 10010 6324 0.262796269246
6980 10010 6328 0.263632796597
6990 10010 6334 0.264469843355
7000 10010 6335 0.265307404072
7010 10010 6335 0.266145473304
7020 10010 6338 0.266984045612
7030 10010 6340 0.267823115566
7040 10010 6342 0.268662677741
7050 10010 6340 0.269502726716
7060 10010 6342 0.270343257081
7070 10010 6344 0.271184263429
7080 10010 6346 0.272025740361
7090 10010 6349 0.272867682484
7100 10010 6352 0.273710084412
7110 10010 6355 0.274552940765
7120 10010 6358 0.275396246173
7130 10010 6359 0.276239995269
7140 10010 6358 0.277084182695
7150 10010 6358 0.2779288031
7160 10010 6357 0.27877385114
7170 10010 6359 0.279619321478
7180 10010 6361 0.280465208785
7190 10010 6363 0.281311507739
7200 10010 6366 0.282158213026
7210 10010 6369 0.283005319338
7220 10010 6367 0.283852821376
7230 10010 6374 0.284700713848
7240 10010 6376 0.285548991472
7250 10010 6379 0.286397648969
7260 10010 6380 0.287246681074
7270 10010 6380 0.288096082524
7280 10010 6381 0.288945848069
7290 10010 6380 0.289795972464
7300 10010 6382 0.290646450473
7310 10010 6383 0.291497276869
7320 10010 6386 0.292348446431
7330 10010 6386 0.293199953951
7340 10010 6387 0.294051794224
7350 10010 6388 0.294903962056
7360 10010 6386 0.295756452263
7370 10010 6386 0.296609259667
7380 10010 6393 0.2974623791
7390 10010 6397 0.298315805403
7400 10010 6399 0.299169533424
7410 10010 6400 0.300023558023
7420 10010 6402 0.300877874066
7430 10010 6399 0.30173247643
7440 10010 6403 0.302587359999
7450 10010 6405 0.303442519668
7460 10010 6406 0.304297950341
7470 10010 6408 0.305153646929
7480 10010 6409 0.306009604355
7490 10010 6412 0.30686581755
7500 10010 6413 0.307722281455
7510 10010 6415 0.30857899102
7520 10010 6416 0.309435941204
7530 10010 6417 0.310293126976
7540 10010 6416 0.311150543315
7550 10010 6418 0.31200818521
7560 10010 6419 0.312866047659
7570 10010 6421 0.313724125669
7580 10010 6422 0.314582414258
7590 10010 6423 0.315440908454
7600 10010 6422 0.316299603294
7610 10010 6425 0.317158493825
7620 10010 6429 0.318017575105
7630 10010 6432 0.318876842202
7640 10010 6436 0.319736290193
7650 10010 6436 0.320595914165
7660 10010 6435 0.321455709217
7670 10010 6436 0.322315670457
7680 10010 6437 0.323175793004
7690 10010 6438 0.324036071986
7700 10010 6439 0.324896502542
7710 10010 6438 0.325757079824
7720 10010 6442 0.326617798989
7730 10010 6447 0.32747865521
7740 10010 6449 0.328339643668
7750 10010 6448 0.329200759555
7760 10010 6450 0.330061998073
7770 10010 6452 0.330923354435
7780 10010 6454 0.331784823866
7790 10010 6455 0.3326464016
7800 10010 6455 0.333508082884
7810 10010 6455 0.334369862973
7820 10010 6458 0.335231737135
7830 10010 6457 0.336093700649
7840 10010 6459 0.336955748804
7850 10010 6458 0.3378178769
7860 10010 6459 0.338680080249
7870 10010 6462 0.339542354173
7880 10010 6463 0.340404694006
7890 10010 6465 0.341267095093
7900 10010 6467 0.342129552791
7910 10010 6471 0.342992062466
7920 10010 6471 0.343854619497
7930 10010 6473 0.344717219274
7940 10010 6473 0.345579857198
7950 10010 6473 0.346442528683
7960 10010 6474 0.347305229152
7970 10010 6476 0.348167954041
7980 10010 6477 0.349030698797
7990 10010 6477 0.349893458878
8000 10010 6480 0.350756229756
8010 10010 6481 0.35161900691
8020 10010 6482 0.352481785836
8030 10010 6484 0.353344562037
8040 10010 6486 0.354207331031
8050 10010 6485 0.355070088346
8060 10010 6486 0.355932829522
8070 10010 6487 0.356795550112
8080 10010 6487 0.357658245678
8090 10010 6489 0.358520911796
8100 10010 6491 0.359383544054
8110 10010 6492 0.36024613805
8120 10010 6490 0.361108689397
8130 10010 6492 0.361971193717
8140 10010 6493 0.362833646645
8150 10010 6492 0.363696043829
8160 10010 6494 0.364558380926
8170 10010 6495 0.365420653609
8180 10010 6494 0.366282857561
8190 10010 6495 0.367144988477
8200 10010 6492 0.368007042063
8210 10010 6494 0.36886901404
8220 10010 6497 0.369730900139
