round user_median user_1q user_3q user_min user_max active_user_median active_user_1q active_user_3q active_user_min active_user_max inactive_user_median inactive_user_1q inactive_user_3q inactive_user_min inactive_user_max share_median shares_1q shares_3q shares_min shares_max shareops_median shareops_1q shareops_3q shareops_min shareops_max sharenoretr_median sharenoretr_1q sharenoretr_3q sharenoretr_min sharenoretr_max shareneverretr_median shareneverretr_1q shareneverretr_3q shareneverretr_min shareneverretr_max productive_median productive_q1 productive_3q productive_min productive_max friends_median friends_1q friends_3q friends_min friends_max finactive_median finactive_1q finactive_3q finactive_min finactive_max
0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2000 2000 2000 2000 2000 0 0 0 0 0 3
10 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 8856 8753 8955 8403 9373 2950 2927 2973 2841 3051 3600 3564 3634 3452 3757 2950 2927 2973 2841 3051 648 627 672 551 770 2000 2000 2000 2000 2000 0 0 0 0 0 3
20 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 19004 18866 19154 18167 19607 6336 6305 6364 6192 6476 6987 6944 7026 6810 7189 6336 6305 6364 6192 6476 651 627 673 549 784 2000 2000 2000 2000 2000 0 0 0 0 0 3
30 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 29181 28997 29329 28171 29934 9720 9683 9753 9510 9896 10369 10323 10416 10116 10596 9720 9683 9753 9510 9896 652 627 673 555 776 2000 2000 2000 2000 2000 0 0 0 0 0 3
40 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 39321 39124 39498 38505 40183 13103 13058 13143 12867 13293 13748 13698 13802 13554 13963 13103 13058 13143 12867 13293 649 626 671 551 785 2000 2000 2000 2000 2000 0 0 0 0 0 3
50 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 49468 49257 49664 48602 50495 16486 16439 16532 16241 16710 17135 17083 17191 16927 17402 16486 16439 16532 16241 16710 649 626 673 561 771 2000 2000 2000 2000 2000 0 0 0 0 0 3
60 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 59605 59390 59838 58740 60575 19867 19818 19918 19603 20178 20517 20457 20579 20213 20823 19867 19818 19918 19603 20178 649 627 671 539 772 2000 2000 2000 2000 2000 0 0 0 0 0 3
70 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 69755 69522 70006 68736 70799 23250 23194 23303 22996 23570 23899 23840 23959 23628 24234 23250 23194 23303 22996 23570 649 628 671 547 774 2000 2000 2000 2000 2000 0 0 0 0 0 3
80 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 79896 79653 80177 78854 81126 26630 26575 26691 26353 27006 27284 27220 27343 26998 27611 26630 26575 26691 26353 27006 649 627 670 544 797 2000 2000 2000 2000 2000 0 0 0 0 0 3
90 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 90065 89762 90374 88758 91253 30015 29953 30078 29733 30392 30666 30596 30733 30348 31028 30015 29953 30078 29733 30392 648 627 670 545 771 2000 2000 2000 2000 2000 0 0 0 0 0 3
