round user_median user_1q user_3q user_min user_max active_user_median active_user_1q active_user_3q active_user_min active_user_max inactive_user_median inactive_user_1q inactive_user_3q inactive_user_min inactive_user_max share_median shares_1q shares_3q shares_min shares_max shareops_median shareops_1q shareops_3q shareops_min shareops_max sharenoretr_median sharenoretr_1q sharenoretr_3q sharenoretr_min sharenoretr_max shareneverretr_median shareneverretr_1q shareneverretr_3q shareneverretr_min shareneverretr_max productive_median productive_q1 productive_3q productive_min productive_max friends_median friends_1q friends_3q friends_min friends_max finactive_median finactive_1q finactive_3q finactive_min finactive_max
0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2000 2000 2000 2000 2000 0 0 0 0 0 3
10 1266 1244 1291 1172 1370 1158 1136 1183 1060 1272 109 101 115 75 145 10989 10644 11321 9606 13041 3316 3259 3368 3095 3619 4610 4494 4718 4134 5104 3697 3621 3780 3377 4205 898 853 966 654 1259 3196 3070 3370 2596 4180 245 213 275 135 452 3
20 1558 1527 1592 1419 1708 1325 1294 1355 1184 1467 235 225 245 197 288 28285 27351 29466 23666 35456 7724 7587 7872 7173 8435 10654 10387 10919 9376 12259 9408 9177 9632 8444 10583 1239 1144 1336 839 2033 4895 4596 5186 3748 7600 608 560 670 399 920 3
30 1851 1814 1896 1669 2054 1474 1441 1514 1287 1660 377 364 390 310 448 51421 49042 53605 42623 70465 12678 12435 12928 11688 13848 18448 17947 18973 16353 21841 16809 16389 17259 14894 19557 1635 1501 1783 1057 2631 7004 6509 7483 4966 11772 1126 1044 1216 775 1984 3
40 2150 2096 2197 1916 2391 1614 1572 1658 1429 1809 533 516 550 462 619 80887 76797 84788 63893 115976 18114 17765 18482 16581 19734 28293 27461 29132 24561 34212 26186 25460 26941 22979 31422 2093 1910 2302 1416 3711 9577 8861 10258 6748 16214 1822 1682 1962 1265 2913 3
50 2446 2388 2499 2176 2710 1741 1694 1789 1526 1950 703 683 724 617 807 118188 111417 124408 91702 176671 24015 23543 24521 22038 26216 40404 39174 41728 34301 50049 37782 36595 38905 32309 45957 2621 2395 2882 1748 5137 12623 11713 13651 9212 22108 2720 2522 2930 1858 4131 3
60 2742 2677 2800 2449 3012 1855 1806 1902 1638 2063 885 862 909 782 997 163667 154346 173292 127109 254797 30314 29711 30950 27616 33160 55132 53262 57165 46059 70250 51953 50181 53629 43539 64111 3222 2942 3534 2076 6139 16239 15022 17583 11570 29060 3859 3575 4154 2826 6269 3
70 3034 2971 3098 2693 3339 1956 1911 2006 1727 2196 1078 1050 1105 966 1211 218399 206295 232673 168725 358687 36976 36252 37763 33485 40379 72829 70160 75769 60041 97178 68987 66550 71542 57100 89292 3877 3544 4288 2380 7886 20476 18998 22205 14220 39434 5240 4891 5701 3764 9341 3
80 3334 3262 3401 3023 3641 2051 1997 2101 1823 2274 1280 1250 1313 1141 1434 284415 267817 304887 215528 484753 43959 43108 44906 39904 48020 93828 90180 98172 77176 131868 89312 85807 93181 73349 123071 4661 4217 5128 2939 8797 25429 23448 27647 18090 49658 6955 6476 7543 4933 13559 3
90 3621 3548 3697 3290 3953 2130 2078 2184 1916 2361 1494 1456 1527 1334 1652 362906 341562 388927 274273 621496 51272 50285 52357 46686 55983 118909 113997 124458 97242 172972 113431 108778 118676 92403 163098 5487 4961 6039 3377 10844 31119 28657 33742 21370 59116 9005 8340 9816 6345 18644 3
100 3916 3837 3992 3556 4313 2203 2151 2256 1980 2474 1712 1673 1747 1523 1888 455682 426509 487863 339055 782740 58831 57731 60098 53635 64182 148207 141594 155745 121638 223476 141794 135660 148718 116201 213014 6375 5740 7079 4040 12396 37635 34524 40920 25612 70560 11459 10607 12434 8056 23569 3
110 4210 4126 4295 3898 4613 2272 2216 2325 2059 2580 1940 1898 1980 1745 2138 563164 525412 603921 414725 964930 66627 65383 68029 60861 72838 182511 173727 192381 147447 281583 174963 167023 184435 142407 269200 7409 6698 8215 4731 14418 44963 41429 49018 30844 81716 14338 13254 15557 9969 28707 3
120 4509 4413 4589 4154 4930 2332 2279 2388 2096 2647 2173 2125 2213 1958 2405 687011 640280 737047 501900 1166821 74713 73282 76122 68475 81855 222188 211228 234404 177658 348113 213678 203153 225315 171561 334152 8582 7783 9508 5503 16150 53337 49197 58307 37294 96756 17753 16320 19199 12361 35323 3
130 4806 4714 4883 4445 5260 2392 2333 2443 2145 2729 2411 2362 2455 2171 2684 830709 773000 893251 605943 1408476 82922 81407 84435 76262 90999 268096 254103 284082 211762 425320 258267 244636 273303 204488 408737 9843 8925 10915 6240 18675 63016 57920 69188 44222 117186 21574 19931 23579 14771 42269 3
140 5094 5001 5187 4694 5544 2443 2382 2497 2166 2738 2656 2600 2702 2409 2931 994156 924609 1070823 726160 1695218 91355 89669 92952 84053 100077 320732 303406 340811 250443 518261 309587 292419 328526 242047 498860 11260 10173 12593 6987 20707 73722 67668 80969 50574 132710 26040 24133 28518 18079 51132 3
150 5398 5292 5487 4952 5827 2491 2429 2546 2177 2769 2902 2848 2958 2634 3181 1183594 1096742 1277517 867940 2012898 99910 98124 101655 92057 109417 381512 359570 404867 297099 620113 368537 347928 391590 287024 597085 12883 11601 14372 8424 23028 85957 79169 94523 58874 159392 31270 28914 34337 21735 59290 3
160 5689 5594 5785 5232 6142 2531 2475 2585 2241 2863 3158 3095 3212 2876 3456 1394689 1294468 1514401 1032096 2382822 108618 106680 110472 100113 118758 450685 423594 478747 351666 736416 436191 410445 463253 338959 712302 14655 13259 16166 9575 26019 100185 92015 109303 67884 175946 37233 34308 40887 25960 71325 3
170 5980 5888 6082 5534 6455 2570 2510 2625 2300 2892 3415 3351 3471 3102 3718 1638109 1521017 1777785 1219639 2785324 117471 115388 119436 108473 128203 528912 496718 564363 409973 868395 512583 481665 545856 396927 840711 16427 15010 18355 10437 27684 115323 106244 126229 78656 203004 43890 40552 48117 30396 83271 3
180 6280 6182 6379 5784 6759 2604 2548 2658 2301 2866 3673 3610 3739 3341 4005 1914177 1776240 2078202 1411958 3241301 126480 124312 128549 116794 137815 619372 578880 660603 486111 1015352 600762 561252 641063 468831 985794 18678 16863 20921 10976 34302 133268 121981 146057 91938 234100 51708 47467 56654 35339 96570 3
190 6577 6476 6671 6029 7085 2635 2578 2692 2351 2880 3937 3873 4007 3618 4259 2233340 2061609 2414253 1630093 3766150 135597 133236 137760 125306 147715 720827 673547 770608 557351 1185799 699876 652920 748167 541900 1148686 21009 19078 23479 12941 37577 152446 139888 167271 102958 269466 60450 55752 66315 42107 110651 3
200 6869 6760 6974 6371 7424 2661 2601 2720 2334 2911 4206 4136 4275 3871 4543 2582233 2385191 2801860 1861102 4364510 144753 142258 147133 134071 157681 834991 779407 893541 639966 1377227 811391 756593 867920 621608 1338420 23663 21449 26335 14403 42757 174534 159855 191494 114714 312784 70317 64760 77323 49749 131414 3
