round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 5.0 2674.0 0.0100930464448 2684.0 1396 5.0 2514.0 0.0100845349525 2524.0 1312 5.0 2904.0 0.0100992526837 2914.0 1515
20 5.0 2678.0 0.010095150769 2688.0 1398 5.0 2543.0 0.010080645581 2553.0 1328 5.0 2933.0 0.0100957313038 2943.0 1530
30 5.0 2670.0 0.0100909361368 2680.0 1394 5.0 2493.0 0.0100930507142 2503.0 1302 5.0 2880.0 0.0100875647245 2890.0 1503
40 5.0 2654.0 0.0100824345536 2664.0 1385 5.0 2826.0 0.0100966330106 2836.0 1475 5.0 2756.0 0.0100979528206 2766.0 1438
50 5.0 2670.0 0.0100909361368 2680.0 1394 5.0 2822.0 0.0100946409415 2832.0 1473 5.0 2847.0 0.0100890847868 2857.0 1486
60 5.0 2674.0 0.0100930464448 2684.0 1396 5.0 2510.0 0.0100822779383 2520.0 1310 5.0 2654.0 0.0100824345536 2664.0 1385
70 5.0 2670.0 0.0100909361368 2680.0 1394 5.0 2600.0 0.0100921811906 2610.0 1357 5.0 2732.0 0.0100856216387 2742.0 1426
80 5.0 2691.0 0.0100829981244 2701.0 1405 5.0 2654.0 0.0100824345536 2664.0 1385 5.0 2489.0 0.0100907869406 2499.0 1299
90 5.0 2678.0 0.010095150769 2688.0 1398 5.0 2530.0 0.0100934952721 2540.0 1321 5.0 2617.0 0.0100818550685 2627.0 1366
100 5.0 2666.0 0.0100888198194 2676.0 1392 5.0 2654.0 0.0100824345536 2664.0 1385 5.0 2641.0 0.0100947542742 2651.0 1379
110 5.0 2678.0 0.010095150769 2688.0 1398 5.0 2464.0 0.0100971687337 2474.0 1286 5.0 2802.0 0.0100845996479 2812.0 1462
120 5.0 2674.0 0.0100930464448 2684.0 1396 5.0 2489.0 0.0100907869406 2499.0 1299 5.0 2481.0 0.010086238614 2491.0 1295
130 5.0 2666.0 0.0100888198194 2676.0 1392 5.0 2649.0 0.0100990047004 2659.0 1383 5.0 2740.0 0.0100897548109 2750.0 1430
140 5.0 2691.0 0.0100829981244 2701.0 1405 5.0 2699.0 0.0100872010821 2709.0 1409 5.0 2538.0 0.0100979352143 2548.0 1325
150 5.0 2695.0 0.0100851025627 2705.0 1407 5.0 2904.0 0.0100992526837 2914.0 1515 5.0 2765.0 0.0100840800756 2775.0 1443
160 5.0 2695.0 0.0100851025627 2705.0 1407 5.0 2736.0 0.0100876910918 2746.0 1428 5.0 2715.0 0.0100955364663 2725.0 1417
170 5.0 2674.0 0.0100930464448 2684.0 1396 5.0 2686.0 0.010099341567 2696.0 1402 5.0 2867.0 0.01009894029 2877.0 1496
180 5.0 2678.0 0.010095150769 2688.0 1398 5.0 2736.0 0.0100876910918 2746.0 1428 5.0 2555.0 0.0100873158997 2565.0 1334
190 5.0 2670.0 0.0100909361368 2680.0 1394 5.0 2830.0 0.0100986197339 2840.0 1477 5.0 2674.0 0.0100930464448 2684.0 1396
200 5.0 2691.0 0.0100829981244 2701.0 1405 5.0 2933.0 0.0100957313038 2943.0 1530 5.0 2736.0 0.0100876910918 2746.0 1428
