round r_med_hf r_med_slots r_med_prob r_med_lu r_med_lc r_min_hf r_min_slots r_min_prob r_min_lu r_min_lc r_max_hf r_max_slots r_max_prob r_max_lu r_max_lc
10 7.0 549430.0 0.00109913524784 549440 285889 7.0 459558.0 0.00109949818168 459568 239080 7.0 658331.0 0.00109891768911 658341 342329
20 7.0 758868.0 0.00109944158429 758878 394583 7.0 578386.0 0.00109876643691 578396 300867 7.0 923193.0 0.00109983566906 923203 479852
30 7.0 1018459.0 0.00109993655432 1018469 529332 7.0 794650.0 0.00109938049352 794660 413189 7.0 1332118.0 0.00109944348136 1332128 691951
40 7.0 1312257.0 0.00109960080214 1312267 681808 7.0 1005285.0 0.00109956991844 1005295 522454 7.0 1565854.0 0.00109964284395 1565864 813599
50 7.0 1666873.0 0.00109991490096 1666883 866119 7.0 1328893.0 0.00109962766178 1328903 690582 7.0 1964623.0 0.00109974621485 1964633 1020214
60 7.0 2044095.0 0.00109986580298 2044105 1061548 7.0 1740224.0 0.00109965617347 1740234 903752 7.0 2501511.0 0.0010999884917 2501521 1299487
70 7.0 2468712.0 0.00109987434293 2468722 1282101 7.0 2021242.0 0.00109997100684 2021252 1049812 7.0 2740508.0 0.0010999869735 2740518 1423373
80 7.0 2991941.0 0.00109984827308 2991951 1553729 7.0 2349150.0 0.00109980850306 2349160 1220082 7.0 3153505.0 0.00109983816739 3153515 1637692
90 7.0 3474490.0 0.00109994673326 3474500 1804621 7.0 2737024.0 0.00109979650839 2737034 1421468 7.0 3966113.0 0.00109980887597 3966123 2059695
100 7.0 4083882.0 0.00109986936563 4083892 2120528 7.0 3444803.0 0.00109986877138 3444813 1789048 7.0 4381053.0 0.00109996981104 4381063 2274869
110 7.0 4720099.0 0.00109995481007 4720109 2450524 7.0 4188361.0 0.0010998727553 4188371 2174913 7.0 5330223.0 0.00109999678368 5330233 2767952
120 7.0 5439010.0 0.00109999398533 5439020 2824277 7.0 4684675.0 0.00109996046899 4684685 2432751 7.0 5871038.0 0.00109992810574 5871048 3048381
130 7.0 6345802.0 0.00109993937223 6345812 3295183 7.0 5656570.0 0.00109989196635 5656580 2937155 7.0 6584560.0 0.00109994263949 6584570 3419539
140 7.0 7218846.0 0.00109990457669 7218856 3748703 7.0 6624051.0 0.0010999266026 6624061 3439283 7.0 8123257.0 0.00109993230801 8123267 4218208
150 7.0 8267359.0 0.0010999786991 8267369 4292998 7.0 7328488.0 0.00109999591774 7328498 3805362 7.0 9382985.0 0.00109992582802 9382995 4871272
160 7.0 8928689.0 0.00109993119922 8928699 4636308 7.0 7473058.0 0.00109998996409 7473068 3880363 7.0 10443937.0 0.0010999542939 10443947 5422936
170 7.0 10507722.0 0.00109994180875 10507732 5456105 7.0 8705850.0 0.00109993676375 8705860 4520321 7.0 11949851.0 0.00109997445555 11949861 6204859
180 7.0 12046783.0 0.00109995108679 12046793 6255063 7.0 10422992.0 0.00109994921563 10423002 5412248 7.0 12873284.0 0.00109996636937 12873294 6683932
190 7.0 13508297.0 0.00109997077969 13508307 7012798 7.0 12635130.0 0.00109998255054 12635140 6559364 7.0 15071287.0 0.0010999580963 15071297 7825161
200 7.0 15243503.0 0.00109995651835 15243513 7914343 7.0 13320756.0 0.00109995449332 13320766 6916454 7.0 19473768.0 0.00109997198432 19473778 10110093
