round nor_med_hf nor_med_slots nor_med_prob nor_med_lu nor_med_lc nor_min_hf nor_min_slots nor_min_prob nor_min_lu nor_min_lc nor_max_hf nor_max_slots nor_max_prob nor_max_lu nor_max_lc nvr_med_hf nvr_med_slots nvr_med_prob nvr_med_lu nvr_med_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc nvr_min_hf nvr_min_slots nvr_min_prob nvr_min_lu nvr_min_lc
10 5.0 532182.0 0.0100975198024 532192 282998 5.0 466641.0 0.0100944922657 466651 248118 5.0 620579.0 0.0100995789253 620589 329810 5.0 160652.0 0.0100910946047 160662 85908 5.0 155883.0 0.010078371847 155893 83270 5.0 175448.0 0.0100903037847 175458 93631
20 5.0 1214868.0 0.0100998736734 1214878 645311 5.0 1032915.0 0.0100968730158 1032925 548696 5.0 1439343.0 0.0100997198239 1439353 764104 5.0 701700.0 0.0100991011146 701710 372817 5.0 641829.0 0.0100943554065 641839 341187 5.0 815050.0 0.0100970751078 815060 433152
30 5.0 2414267.0 0.0100991897112 2414277 1281614 5.0 2018302.0 0.0100995661402 2018312 1071693 5.0 2876833.0 0.0100995410827 2876843 1527415 5.0 1725508.0 0.0100986063226 1725518 916372 5.0 1480952.0 0.0100987183675 1480962 786320 5.0 1976015.0 0.0100989544308 1976025 1049265
40 5.0 4258972.0 0.0100997811037 4258982 2260431 5.0 3464255.0 0.0100998009579 3464265 1838837 5.0 5041276.0 0.0100999673596 5041286 2675921 5.0 3371615.0 0.0100987911296 3371625 1789505 5.0 2784470.0 0.0100990171706 2784480 1477970 5.0 3982422.0 0.0100991064393 3982432 2113742
50 5.0 6885960.0 0.0100996537333 6885970 3654920 5.0 5573576.0 0.0100993410211 5573586 2957840 5.0 8194252.0 0.0100999380986 8194262 4348722 5.0 5758687.0 0.0100995492503 5758697 3056859 5.0 4674883.0 0.0100994193881 4674893 2481193 5.0 6865729.0 0.0100992880022 6865739 3644143
60 5.0 10464501.0 0.0100997024284 10464511 5553321 5.0 8516896.0 0.0100999431763 8516906 4519645 5.0 12584563.0 0.0100999948015 12584573 6678377 5.0 9082106.0 0.0100997546693 9082116 4819980 5.0 7340072.0 0.0100998009565 7340082 3895507 5.0 10892852.0 0.0100998406848 10892862 5780767
70 5.0 15142578.0 0.0100998498025 15142588 8035170 5.0 12311444.0 0.0100997288439 12311454 6532877 5.0 18197129.0 0.0100999112468 18197139 9657063 5.0 13473066.0 0.0100997343943 13473076 7149840 5.0 10944502.0 0.0100997001121 10944512 5807993 5.0 16343821.0 0.0100996965545 16343831 8673588
80 5.0 21175966.0 0.0100998989783 21175976 11236694 5.0 17139201.0 0.0100997178666 17139211 9094273 5.0 25182455.0 0.0100999001824 25182465 13365256 5.0 19152625.0 0.0100997865592 19152635 10163216 5.0 15550451.0 0.0100999525706 15550461 8251924 5.0 23049850.0 0.0100998167906 23049860 12232553
90 5.0 28703393.0 0.0100999007288 28703403 15230840 5.0 23140354.0 0.0100998165621 23140364 12279409 5.0 33994906.0 0.0100998948629 33994916 18039054 5.0 26353603.0 0.010099972658 26353613 13985274 5.0 21289330.0 0.0100999186529 21289340 11297264 5.0 31312693.0 0.0100999436807 31312703 16616309
100 5.0 38000871.0 0.010099914132 38000881 20165095 5.0 30708219.0 0.0100998809591 30708229 16295816 5.0 44832401.0 0.0100998900267 44832411 23789360 5.0 35238989.0 0.0100999636978 35238999 18700524 5.0 28378516.0 0.010099969896 28378526 15058877 5.0 41869548.0 0.0100998838582 41869558 22217783
110 5.0 49287583.0 0.0100999045236 49287593.0 26151997 5.0 40079560.0 0.0100999230775 40079570 21269074 5.0 58170865.0 0.0100999360285 58170875.0 30865466 5.0 46095384.0 0.010099964326 46095394.0 24458216 5.0 37246999.0 0.0100999981011 37247009 19765986 5.0 54566042.0 0.0100999747769 54566052.0 28952747
